VEH_NUMBER,VEH_TYPE,VEH_TEXT,VEH_BRAND,VEH_MODEL,VEH_PATENT,NAME_EFF_DATE,OWNER,REG_OWNER,REG_CNTRY,REG_DATE,VEH_MODE,CLF_EFDT,VEH_STATUS,VEH_ID,LGTUD,ANCHO,ALTURA,CARRIER,CLASS_GRP,WGT_UOM,VOL_UOM
419-27-3790,508397896-2,Aenean sit amet justo.,Buick,LeSabre,WBAUP7C55BV676413,4/2/2022,Renie Sapir,Brew Anthoin,VN,9/15/2020,3,5/19/2022,1,8586,10.777,7.597,16.934,Marine Transportation,59862,63745,95370
686-48-4559,989767775-5,Nullam varius. Nulla facilisi. Cras non velit nec nisi vulputate nonummy.,Oldsmobile,Bravada,YV1902MC6F1584053,2/24/2022,Wallie Greste,Darcee Branney,ID,8/19/2021,2,5/26/2021,2,9467,4.519,7.968,11.214,Life Insurance,20333,25228,16823
238-36-5352,810543897-6,"Praesent lectus. Vestibulum quam sapien, varius ut, blandit non, interdum in, ante.",Ford,E-Series,WBAYA6C56FD550473,12/25/2021,Hubie Sergeant,Chevy Burchard,CN,12/23/2021,5,10/18/2021,1,5810,19.843,29.47,20.825,Containers/Packaging,90847,14664,41294
506-36-5114,770827000-6,Quisque ut erat.,BMW,X5,JN1AZ4EHXFM466250,3/23/2021,Bibbye Kyd,Jewelle Nuccii,ID,6/29/2021,4,1/6/2021,0,8471,20.492,18.72,22.432,Homebuilding,1133,6958,87408
888-53-0601,909802939-6,"Fusce lacus purus, aliquet at, feugiat non, pretium quis, lectus.",Buick,Century,WDDNG9FB5CA826992,7/3/2021,Addi Eastbury,Pincus Dunmore,PT,2/17/2021,4,7/9/2020,2,1587,21.131,15.329,16.946,n/a,11711,21760,41998
423-82-9196,047766736-8,Maecenas tincidunt lacus at velit. Vivamus vel nulla eget eros elementum pellentesque. Quisque porta volutpat erat.,Kia,Sportage,1G4HD57247U475158,7/12/2021,Raddy Plante,Ellette Beetles,CN,7/28/2021,4,2/20/2021,0,4121,14.796,29.547,3.421,Publishing,63155,58190,38285
545-66-3990,684074634-8,Etiam justo. Etiam pretium iaculis justo. In hac habitasse platea dictumst.,Chrysler,Sebring,WAUSH74F18N330041,9/10/2021,Celestyn Blumson,Kurt Gerrey,CN,11/14/2020,3,10/29/2020,0,3022,2.771,13.473,12.331,Military/Government/Technical,2361,53503,72839
118-94-4412,286580257-4,"Quisque erat eros, viverra eget, congue eget, semper rutrum, nulla.",Hyundai,Accent,WAUDH78E57A754791,12/11/2021,Lazar Iltchev,Ivar Hoppner,RU,10/16/2021,4,12/27/2021,1,2248,8.203,3.613,15.944,n/a,41247,16220,41775
794-49-4219,764456009-2,Praesent id massa id nisl venenatis lacinia.,Hyundai,Tucson,WBABS33452J251092,11/6/2020,Jania Karlowicz,Gusty Penrice,JP,8/23/2020,2,11/11/2021,0,1283,18.663,21.508,29.18,Computer Software: Prepackaged Software,61865,51236,62931
435-26-3789,597514226-1,Sed vel enim sit amet nunc viverra dapibus.,Mazda,Navajo,WUATNAFG0EN614293,12/11/2020,Mitchel Rutigliano,Vania Mousley,UA,5/14/2022,1,12/21/2020,1,8923,21.665,12.97,6.356,Investment Managers,92451,82586,77812
281-35-2645,395293669-3,"Nulla nisl. Nunc nisl. Duis bibendum, felis sed interdum venenatis, turpis enim blandit mi, in porttitor pede justo eu massa.",Ford,Econoline E150,2C3CDZFJ5FH231927,3/21/2022,Robbie Cantero,Isidoro Izhaky,RU,9/20/2021,5,12/16/2021,2,8354,3.571,24.649,12.64,Property-Casualty Insurers,95385,99654,55864
649-52-2941,534720437-0,"Vestibulum ante ipsum primis in faucibus orci luctus et ultrices posuere cubilia Curae; Nulla dapibus dolor vel est. Donec odio justo, sollicitudin ut, suscipit a, feugiat et, eros.",Hyundai,Sonata,4USBT33414L219239,6/30/2021,Isadora Nolleau,Harry Piet,BR,11/8/2021,4,12/6/2020,2,6816,19.261,13.663,10.651,n/a,29414,77533,72662
750-10-5408,677780910-4,Duis bibendum. Morbi non quam nec dui luctus rutrum. Nulla tellus.,Mercury,Villager,1YVHZ8BHXA5878141,9/5/2020,Ellswerth D'Alwis,Kathy Rangell,CN,12/10/2021,5,6/1/2021,0,7439,11.989,10.659,2.165,Investment Managers,8988,62929,90923
305-48-4457,655474292-1,Duis consequat dui nec nisi volutpat eleifend.,Cadillac,SRX,WA1YD54BX4N962874,10/12/2020,Bobbi Cadamy,Hilario Pirri,FR,1/18/2022,5,6/4/2021,1,9020,29.649,26.395,11.467,Marine Transportation,28205,33073,8704
419-63-3995,334758526-7,Etiam pretium iaculis justo.,Oldsmobile,Ciera,1GYFK532X9R259936,4/18/2021,Zane Probet,Weider Konneke,RU,1/22/2021,3,10/8/2021,1,6513,18.626,26.15,11.209,Major Pharmaceuticals,93830,68052,25188
146-70-0478,142351104-2,Aenean auctor gravida sem.,BMW,Z8,WAUAF78E55A795153,7/6/2021,Artus Holleworth,Maddie Dionis,CN,5/15/2022,5,9/18/2020,0,2723,14.512,1.641,0.245,Packaged Foods,79875,95455,9810
294-54-2513,948713238-4,Vestibulum ante ipsum primis in faucibus orci luctus et ultrices posuere cubilia Curae; Duis faucibus accumsan odio.,Ford,E-Series,5J8TB4H74GL065069,9/17/2020,Dyanne Dewes,Rennie Cello,AL,4/3/2022,1,3/17/2021,0,9103,27.119,1.764,6.527,Marine Transportation,21317,48042,93752
265-48-4307,150487987-2,Duis aliquam convallis nunc.,Hyundai,Santa Fe,1FTEW1CM3BF750109,3/21/2021,Abramo Grumley,Ferrel Howlings,CN,6/6/2021,3,12/3/2020,0,1353,23.664,0.601,3.727,Trucking Freight/Courier Services,96156,96286,63842
776-10-7450,251815053-6,"Quisque id justo sit amet sapien dignissim vestibulum. Vestibulum ante ipsum primis in faucibus orci luctus et ultrices posuere cubilia Curae; Nulla dapibus dolor vel est. Donec odio justo, sollicitudin ut, suscipit a, feugiat et, eros.",Ford,GT500,1FMEU7EE5AU940353,11/22/2021,Henrieta Corss,Frederic Becket,BR,10/17/2020,2,8/3/2021,2,9602,5.392,18.518,12.848,Major Banks,76611,54387,50469
324-41-7054,182044135-0,"Cum sociis natoque penatibus et magnis dis parturient montes, nascetur ridiculus mus. Vivamus vestibulum sagittis sapien. Cum sociis natoque penatibus et magnis dis parturient montes, nascetur ridiculus mus.",Dodge,Dakota Club,1G6AA5RA0F0762850,11/10/2021,Beatrix Francesconi,Agnese Blampey,TH,9/23/2020,1,4/6/2022,2,6015,2.697,6.666,16.139,Automotive Aftermarket,16535,54992,67748
135-43-3715,599895827-6,"Mauris ullamcorper purus sit amet nulla. Quisque arcu libero, rutrum ac, lobortis vel, dapibus at, diam. Nam tristique tortor eu pede.",Lexus,ES,WBAVS13597F793431,2/4/2022,Chaddie Gerlack,Gizela Bloy,UZ,7/9/2020,4,1/24/2021,1,1107,25.786,14.314,17.002,Environmental Services,44898,33819,53089
652-52-7468,326460059-5,Duis aliquam convallis nunc. Proin at turpis a pede posuere nonummy. Integer non velit.,GMC,Yukon,2G4WS52J631195422,8/10/2020,Stepha Perillo,Gilburt Bompass,VE,11/7/2021,1,3/26/2022,1,1312,22.574,13.589,17.994,Biotechnology: Biological Products (No Diagnostic Substances),48131,76872,15694
441-79-7377,220670593-1,"Curabitur in libero ut massa volutpat convallis. Morbi odio odio, elementum eu, interdum eu, tincidunt in, leo. Maecenas pulvinar lobortis est.",Mercury,Grand Marquis,1C4SDHCT4EC316427,1/29/2021,Jasmine Warbeys,Fayette Grattage,CN,2/3/2022,4,12/18/2021,1,8623,4.074,4.05,19.27,Major Pharmaceuticals,78165,72361,88997
157-31-7202,600759402-5,Integer tincidunt ante vel ipsum. Praesent blandit lacinia erat. Vestibulum sed magna at nunc commodo placerat.,Pontiac,Bonneville,4USBU53518L223184,8/21/2021,Sander Kydd,Letitia Upham,CO,4/18/2021,5,12/23/2021,0,4787,13.654,18.493,4.565,Apparel,26331,40639,30530
740-96-5454,895164038-8,Vestibulum ante ipsum primis in faucibus orci luctus et ultrices posuere cubilia Curae; Duis faucibus accumsan odio. Curabitur convallis. Duis consequat dui nec nisi volutpat eleifend.,Chevrolet,Blazer,1G6KD57Y42U631869,8/15/2020,Roseann Hailwood,Daveen MacCorkell,FI,4/25/2021,4,3/22/2021,2,3341,27.353,18.474,11.678,Precious Metals,84032,80245,55573
453-57-4801,702701327-4,Fusce consequat. Nulla nisl.,Nissan,Leaf,1C3BCBFG7CN923734,10/9/2020,Gorden Restall,Christabel Gelletly,RU,4/22/2022,5,10/21/2020,2,2236,13.326,3.595,17.94,Environmental Services,94420,44586,49502
257-04-2030,667153898-0,"Donec vitae nisi. Nam ultrices, libero non mattis pulvinar, nulla pede ullamcorper augue, a suscipit nulla elit ac nulla.",Kia,Spectra5,WAURVAFDXCN536306,5/1/2021,Ali Ladbrooke,Carlin Devon,RU,8/25/2021,4,2/14/2021,2,3536,20.179,29.353,19.29,Specialty Chemicals,15644,66833,8769
765-33-8120,585779948-1,"Vestibulum ac est lacinia nisi venenatis tristique. Fusce congue, diam id ornare imperdiet, sapien urna pretium nisl, ut volutpat sapien arcu sed augue.",Mitsubishi,GTO,1FMCU4K34AK956855,5/30/2022,Nanice Jeves,Davidde Jacomb,AM,9/22/2020,2,5/26/2022,1,4892,16.365,21.318,4.722,Property-Casualty Insurers,61469,55891,6899
354-57-2369,896568718-7,Nullam porttitor lacus at turpis. Donec posuere metus vitae ipsum.,Lotus,Exige,WAUUL78E76A171801,3/19/2022,Querida Bahde,Edith Doohey,ID,3/23/2022,4,4/20/2022,1,9378,10.837,2.433,9.723,Wholesale Distributors,80451,72463,60122
727-17-9324,906561552-0,Nulla ut erat id mauris vulputate elementum. Nullam varius. Nulla facilisi.,BMW,8 Series,1FTEW1CM4BK290739,8/15/2020,Nelson Stambridge,Joella Rexworthy,PT,12/12/2021,2,1/6/2022,2,5282,27.296,18.624,18.175,Trucking Freight/Courier Services,78812,92355,93543
199-99-5039,995348433-3,Sed accumsan felis. Ut at dolor quis odio consequat varius.,Honda,Accord,1G6KD57Y52U793252,7/14/2020,Kassey Eastment,Edythe Rackham,PE,6/25/2021,5,9/13/2021,2,2719,5.813,17.769,9.889,Major Banks,79336,1416,21907
626-10-0022,557993430-0,"Vestibulum quam sapien, varius ut, blandit non, interdum in, ante.",Oldsmobile,Aurora,JTDZN3EU5E3741871,9/21/2021,Romain Parrington,Helli Peal,UA,12/13/2021,4,3/8/2022,1,4936,25.593,16.227,14.727,Broadcasting,72066,1820,19485
522-20-1008,289673028-1,"Vestibulum quam sapien, varius ut, blandit non, interdum in, ante. Vestibulum ante ipsum primis in faucibus orci luctus et ultrices posuere cubilia Curae; Duis faucibus accumsan odio. Curabitur convallis.",Lincoln,Mark VIII,5FRYD3H93GB445550,2/26/2022,Ferd Maffey,Ariel Mew,ID,8/16/2020,2,8/27/2020,0,4197,8.098,16.944,24.467,Telecommunications Equipment,28790,92896,86614
798-06-9053,239449203-1,"Morbi vel lectus in quam fringilla rhoncus. Mauris enim leo, rhoncus sed, vestibulum sit amet, cursus id, turpis. Integer aliquet, massa id lobortis convallis, tortor risus dapibus augue, vel accumsan tellus nisi eu orci.",GMC,Yukon XL 1500,1GD12ZCG5CF331410,12/5/2020,Lynelle Hove,Joela Gatus,UA,4/14/2022,1,5/13/2021,1,3679,26.507,8.766,26.115,n/a,80845,8231,90475
551-96-5341,015711048-6,"Vestibulum ante ipsum primis in faucibus orci luctus et ultrices posuere cubilia Curae; Nulla dapibus dolor vel est. Donec odio justo, sollicitudin ut, suscipit a, feugiat et, eros.",Isuzu,Hombre,2T1BU4EE1DC835500,1/3/2021,Moyna Losel,Pembroke Del Castello,ID,7/13/2020,2,4/23/2022,2,5922,0.411,27.846,22.993,EDP Services,9430,34220,72859
866-90-3246,542892034-3,Vivamus vel nulla eget eros elementum pellentesque.,Smart,Fortwo,1G6DU6EA5A0874939,7/17/2020,Shepherd Dumingos,Terri-jo Szimon,AM,4/6/2021,2,1/27/2022,2,8666,6.864,22.099,17.324,Major Banks,87723,64911,70960
210-80-7029,949019838-2,Proin eu mi.,Cadillac,STS,KNDMG4C71B6624645,8/12/2021,Crawford Doog,Penrod Tomasutti,JO,6/29/2021,1,6/1/2021,0,3075,1.637,12.335,7.902,Professional Services,79113,97603,88299
609-31-6337,027080367-X,Cras in purus eu magna vulputate luctus.,Mazda,626,WBS3U9C51FJ343148,5/8/2022,Dorette Hallan,Alanah Roughan,ID,3/20/2021,2,12/10/2020,0,2615,25.355,24.053,13.335,Computer Communications Equipment,17692,75596,32754
247-28-4977,549437070-4,Pellentesque eget nunc. Donec quis orci eget orci vehicula condimentum. Curabitur in libero ut massa volutpat convallis.,BMW,3 Series,WAUBGAFB0AN477712,11/27/2021,Becka Iscowitz,Willette Selwin,PT,12/8/2021,5,12/24/2021,0,6632,15.375,12.622,19.15,Major Banks,40899,96015,86631
442-45-7799,408421462-0,In quis justo.,GMC,Sierra Hybrid,WBABS53453E147174,4/5/2022,Natale Maneylaws,Robinet Druhan,PT,10/6/2020,4,7/25/2021,0,1138,7.468,1.367,13.802,Precious Metals,20584,40831,69702
408-37-6358,049700205-1,Nulla tellus. In sagittis dui vel nisl.,Pontiac,Grand Prix,4A31K5DF7CE610315,9/20/2021,Lanna Vernall,Marga Kilmister,LA,4/1/2022,4,5/20/2021,0,9026,16.276,3.026,13.669,Major Chemicals,31960,73909,35661
127-42-6590,079132457-5,Pellentesque ultrices mattis odio.,Suzuki,Grand Vitara,1GYS3FEJ2BR639865,8/29/2021,Shannan Tomaschke,Harmon Tanzer,CN,4/9/2021,1,4/10/2021,0,2670,4.294,9.052,23.564,n/a,57578,64816,95677
318-63-8622,044623262-9,Suspendisse potenti. Nullam porttitor lacus at turpis. Donec posuere metus vitae ipsum.,Mazda,RX-7,JTHKD5BH8C2080572,8/14/2020,Lois Keuneke,Cyndy Pallasch,ZA,5/27/2022,5,10/29/2020,1,9138,21.342,2.283,4.319,Real Estate Investment Trusts,30913,61018,16883
757-61-6161,143906090-8,"In hac habitasse platea dictumst. Morbi vestibulum, velit id pretium iaculis, diam erat fermentum justo, nec condimentum neque sapien placerat ante.",Mitsubishi,Montero Sport,2G4WD582081724980,7/2/2020,Manya Feldharker,Rube Odgaard,CN,4/16/2022,3,4/4/2021,0,1352,16.89,17.172,13.44,Packaged Foods,82470,21485,72607
273-55-0243,978871468-4,Nulla facilisi. Cras non velit nec nisi vulputate nonummy. Maecenas tincidunt lacus at velit.,Chrysler,Concorde,1FTWW3CY3AE221444,6/5/2022,Richard Neeve,Kizzee Muat,RU,3/4/2021,4,7/27/2020,2,4688,7.206,18.992,28.629,EDP Services,46471,14485,29979
813-76-6290,296317189-7,"Aenean sit amet justo. Morbi ut odio. Cras mi pede, malesuada in, imperdiet et, commodo vulputate, justo.",Porsche,Boxster,KMHDB8AE2AU069587,4/30/2022,Raychel Toth,Al Kohen,CN,5/21/2022,2,12/6/2020,2,7677,10.777,8.358,1.396,n/a,49212,20075,20589
555-84-1610,766850964-X,"Lorem ipsum dolor sit amet, consectetuer adipiscing elit.",Ford,Windstar,2HNYD28508H888804,9/11/2021,Kristo Plak,Dalt Martignoni,FI,6/11/2022,4,4/24/2021,1,9769,6.67,1.503,7.025,Telecommunications Equipment,84954,80732,62274
454-39-9379,058686334-6,Fusce consequat. Nulla nisl.,Audi,A7,WAUDH98EX6A023980,7/17/2021,Augie Denes,Waylin Erswell,PE,7/30/2020,3,10/30/2020,1,5416,27.313,23.743,28.073,Home Furnishings,86029,78703,96389
754-94-2146,661637641-9,"Integer pede justo, lacinia eget, tincidunt eget, tempus vel, pede.",Toyota,Celica,SALFR2BG5EH494749,9/1/2020,Kara-lynn Marcu,Tull Hazlegrove,VE,10/2/2021,5,10/17/2021,2,6749,14.345,27.758,17.323,Major Pharmaceuticals,56682,67595,34639
308-73-0516,092558077-5,Nulla tellus. In sagittis dui vel nisl. Duis ac nibh.,Mitsubishi,Chariot,2C3CCADG6DH253296,7/9/2020,Lynne Nairne,Tome Havesides,ID,7/30/2020,5,3/11/2022,2,8288,9.945,27.821,28.468,Metal Fabrications,79656,29495,48577
830-60-1269,386245565-3,Cras pellentesque volutpat dui.,Suzuki,Verona,WBADX7C59BE937347,1/22/2022,Sayre Hancill,Debbi Gillson,RU,1/17/2021,5,8/24/2020,2,4663,5.616,10.254,22.521,n/a,90967,8409,11766
582-42-1663,075714520-5,Aenean sit amet justo. Morbi ut odio.,Audi,Coupe Quattro,5GAKRAKDXEJ480362,4/2/2021,Reggy Rowbury,Hadria Zute,CN,7/8/2020,4,4/3/2021,0,2661,1.248,20.947,21.809,Property-Casualty Insurers,13948,74732,94238
116-48-4445,766571802-7,Nam dui.,Toyota,Supra,WAUWFAFR2BA773695,5/13/2021,Shellie Weekly,Hernando Casarini,NG,11/30/2021,1,6/15/2021,1,8483,5.4,7.753,19.795,Major Chemicals,53058,27113,54236
330-96-4416,320804054-7,Pellentesque ultrices mattis odio. Donec vitae nisi.,Chrysler,Voyager,3VW507AT0FM943399,8/23/2020,Towney Elger,Ilka Rown,FR,11/23/2020,4,2/14/2021,2,4542,17.819,13.866,20.108,Investment Managers,71912,26311,39283
718-12-7474,527403351-2,Donec vitae nisi.,BMW,6 Series,5TDDCRFHXES244432,12/3/2020,Donica Malyan,Doralyn Bartens,PL,12/15/2020,1,8/19/2021,1,9577,19.882,21.294,29.637,n/a,72872,89887,73969
714-67-8790,583262898-5,"Nam ultrices, libero non mattis pulvinar, nulla pede ullamcorper augue, a suscipit nulla elit ac nulla.",Pontiac,Vibe,5XYZT3LB5DG057419,7/11/2021,Marcellina Osant,Evy Bracco,BY,5/13/2021,5,7/27/2021,2,2457,9.945,28.529,8.651,Automotive Aftermarket,72637,58896,93155
290-73-4675,039442036-5,"Cum sociis natoque penatibus et magnis dis parturient montes, nascetur ridiculus mus. Vivamus vestibulum sagittis sapien. Cum sociis natoque penatibus et magnis dis parturient montes, nascetur ridiculus mus.",Volvo,S40,YV440MDB2F2006977,5/13/2021,Garner Lutsch,Lanie Gostyke,JP,1/24/2021,2,10/21/2021,2,5746,8.748,0.943,7.079,Packaged Foods,43653,72223,35840
708-25-5745,060082045-9,"Phasellus id sapien in sapien iaculis congue. Vivamus metus arcu, adipiscing molestie, hendrerit at, vulputate vitae, nisl. Aenean lectus.",Toyota,TundraMax,WAULD54B33N250248,6/9/2021,Casper Leckie,Madalena Daelman,CN,12/13/2020,1,12/3/2020,2,9778,0.835,23.355,23.189,Movies/Entertainment,31913,61593,13352
795-86-4661,931251719-8,"Donec ut dolor. Morbi vel lectus in quam fringilla rhoncus. Mauris enim leo, rhoncus sed, vestibulum sit amet, cursus id, turpis.",Lincoln,Navigator L,3C3CFFJH3ET917130,7/1/2020,Saundra Danter,Milissent Mooring,CZ,7/8/2021,3,10/3/2021,0,3716,22.652,21.862,15.88,Major Banks,32145,59827,73161
