ID,OIGC_ID,H_NUMBER,H_IDTEXT,H_XPRTION,H_DETAIL
31,11,A49,T61905,8/21/2021,Etiam pretium iaculis justo. In hac habitasse platea dictumst.
32,11,A27,T67390,6/2/2022,Duis consequat dui nec nisi volutpat eleifend. Donec ut dolor.
33,12,A00,T00288,2/13/2022,"Integer aliquet, massa id lobortis convallis, tortor risus dapibus augue, vel accumsan tellus nisi eu orci."
34,13,A45,T34532,4/29/2022,Mauris lacinia sapien quis libero. Nullam sit amet turpis elementum ligula vehicula consequat.
35,13,A16,T73998,8/17/2020,Duis mattis egestas metus.
36,13,A57,T68777,12/17/2020,"Nam ultrices, libero non mattis pulvinar, nulla pede ullamcorper augue, a suscipit nulla elit ac nulla."
37,13,A43,T81201,4/18/2022,"Quisque erat eros, viverra eget, congue eget, semper rutrum, nulla. Nunc purus."
38,13,A66,T36814,8/8/2020,Etiam justo.
39,13,A43,T13026,10/5/2021,Morbi quis tortor id nulla ultrices aliquet.
40,13,A07,T42188,2/14/2022,Integer a nibh.
41,14,A93,T69170,9/13/2020,"Integer non velit. Donec diam neque, vestibulum eget, vulputate ut, ultrices vel, augue."
42,15,A23,T25123,9/29/2020,"Donec diam neque, vestibulum eget, vulputate ut, ultrices vel, augue."
43,15,A32,T92659,11/5/2020,Integer a nibh. In quis justo.
44,15,A57,T11873,7/2/2020,Morbi vel lectus in quam fringilla rhoncus.
45,15,A37,T21113,1/14/2022,Morbi porttitor lorem id ligula.
46,16,A82,T30418,4/10/2022,Maecenas pulvinar lobortis est.
47,17,A84,T00188,11/5/2021,Duis at velit eu est congue elementum.
48,17,A87,T44318,12/20/2021,"Vestibulum ante ipsum primis in faucibus orci luctus et ultrices posuere cubilia Curae; Nulla dapibus dolor vel est. Donec odio justo, sollicitudin ut, suscipit a, feugiat et, eros."
49,17,A16,T07804,7/11/2021,"Maecenas leo odio, condimentum id, luctus nec, molestie sed, justo. Pellentesque viverra pede ac diam."
50,17,A05,T47211,2/2/2021,"Nam congue, risus semper porta volutpat, quam pede lobortis ligula, sit amet eleifend pede libero quis orci."
51,17,A56,T98332,6/6/2022,Integer ac leo. Pellentesque ultrices mattis odio.
52,18,A67,T44014,8/11/2020,"Vestibulum ante ipsum primis in faucibus orci luctus et ultrices posuere cubilia Curae; Donec pharetra, magna vestibulum aliquet ultrices, erat tortor sollicitudin mi, sit amet lobortis sapien sapien non mi."
53,19,A90,T40737,4/24/2021,Vestibulum ante ipsum primis in faucibus orci luctus et ultrices posuere cubilia Curae; Duis faucibus accumsan odio.
54,20,A00,T65432,6/8/2021,Morbi non quam nec dui luctus rutrum. Nulla tellus.
55,21,A91,T12314,4/19/2021,"Lorem ipsum dolor sit amet, consectetuer adipiscing elit. Proin risus."
56,21,A50,T78870,8/13/2020,Proin eu mi. Nulla ac enim.
57,21,A59,T68462,5/18/2021,Pellentesque at nulla. Suspendisse potenti.
58,21,A14,T28368,1/9/2021,In congue.
59,21,A39,T14135,10/23/2020,Nulla ut erat id mauris vulputate elementum.
60,21,A35,T75612,7/12/2021,Suspendisse potenti. In eleifend quam a odio.
61,21,A50,T81063,11/7/2020,Integer a nibh.
62,22,A68,T81869,8/9/2020,Donec quis orci eget orci vehicula condimentum.
63,23,A11,T27687,11/29/2020,"Nulla ac enim. In tempor, turpis nec euismod scelerisque, quam turpis adipiscing lorem, vitae mattis nibh ligula nec sem."
64,24,A93,T32618,12/15/2020,"Cum sociis natoque penatibus et magnis dis parturient montes, nascetur ridiculus mus."
65,25,A06,T53868,5/30/2022,Vestibulum ante ipsum primis in faucibus orci luctus et ultrices posuere cubilia Curae; Nulla dapibus dolor vel est.
66,25,A49,T72229,5/1/2021,Vestibulum ante ipsum primis in faucibus orci luctus et ultrices posuere cubilia Curae; Duis faucibus accumsan odio. Curabitur convallis.
67,25,A95,T64045,10/26/2021,Donec ut dolor.
68,25,A94,T62080,12/22/2021,Quisque ut erat.
69,25,A09,T18836,11/28/2021,Vestibulum rutrum rutrum neque.
70,26,A26,T43039,7/6/2020,Cras non velit nec nisi vulputate nonummy. Maecenas tincidunt lacus at velit.
71,27,A30,T42221,10/11/2020,"Nam nulla. Integer pede justo, lacinia eget, tincidunt eget, tempus vel, pede."
72,28,A73,T86499,12/1/2021,Curabitur at ipsum ac tellus semper interdum.
73,29,A64,T79698,3/10/2022,"In est risus, auctor sed, tristique in, tempus sit amet, sem. Fusce consequat."
74,30,A96,T94630,9/27/2020,In quis justo.
75,30,A85,T14790,8/23/2020,Integer ac neque.
76,30,A65,T78815,4/13/2021,Aliquam erat volutpat.
77,30,A95,T91232,10/12/2021,Proin at turpis a pede posuere nonummy. Integer non velit.
78,30,A87,T33310,2/7/2021,In eleifend quam a odio. In hac habitasse platea dictumst.
79,31,A51,T97635,11/22/2021,Aliquam sit amet diam in magna bibendum imperdiet.
80,32,A00,T65178,6/11/2022,Vivamus tortor. Duis mattis egestas metus.
81,33,A88,T31335,11/13/2021,"Maecenas tristique, est et tempus semper, est quam pharetra magna, ac consequat metus sapien ut nunc. Vestibulum ante ipsum primis in faucibus orci luctus et ultrices posuere cubilia Curae; Mauris viverra diam vitae quam."
82,34,A44,T34589,1/28/2022,Aliquam non mauris. Morbi non lectus.
83,35,A33,T71479,1/15/2021,In sagittis dui vel nisl. Duis ac nibh.
84,36,A87,T17588,11/24/2021,"Morbi ut odio. Cras mi pede, malesuada in, imperdiet et, commodo vulputate, justo."
85,37,A66,T99267,2/14/2022,Aenean lectus.
86,38,A90,T50617,12/10/2021,"Morbi sem mauris, laoreet ut, rhoncus aliquet, pulvinar sed, nisl. Nunc rhoncus dui vel sem."
87,39,A67,T85901,3/9/2022,Vestibulum ante ipsum primis in faucibus orci luctus et ultrices posuere cubilia Curae; Duis faucibus accumsan odio. Curabitur convallis.
88,39,A56,T88042,10/11/2021,"Maecenas leo odio, condimentum id, luctus nec, molestie sed, justo. Pellentesque viverra pede ac diam."
89,39,A54,T92482,1/2/2022,Praesent blandit.
90,39,A49,T42221,9/14/2020,Cras pellentesque volutpat dui.
91,39,A52,T65109,3/5/2021,"Donec vitae nisi. Nam ultrices, libero non mattis pulvinar, nulla pede ullamcorper augue, a suscipit nulla elit ac nulla."
92,39,A71,T85908,10/18/2020,Sed ante. Vivamus tortor.
93,39,A86,T60019,1/19/2022,"Mauris ullamcorper purus sit amet nulla. Quisque arcu libero, rutrum ac, lobortis vel, dapibus at, diam."
94,40,A03,T04610,6/9/2021,Quisque ut erat.
95,41,A50,T71766,1/16/2021,Maecenas tincidunt lacus at velit.
96,42,A67,T50195,6/27/2021,Etiam justo. Etiam pretium iaculis justo.
97,43,A12,T35725,10/14/2020,Vestibulum ante ipsum primis in faucibus orci luctus et ultrices posuere cubilia Curae; Nulla dapibus dolor vel est.
98,44,A31,T16244,2/4/2021,"Mauris ullamcorper purus sit amet nulla. Quisque arcu libero, rutrum ac, lobortis vel, dapibus at, diam."
99,44,A48,T05019,10/14/2021,In congue.
100,44,A55,T06031,10/6/2021,Nulla nisl. Nunc nisl.
101,44,A50,T24542,12/11/2020,"Mauris enim leo, rhoncus sed, vestibulum sit amet, cursus id, turpis. Integer aliquet, massa id lobortis convallis, tortor risus dapibus augue, vel accumsan tellus nisi eu orci."
102,44,A25,T34241,5/28/2021,Nunc purus. Phasellus in felis.
103,44,A22,T56240,7/29/2020,"Aliquam augue quam, sollicitudin vitae, consectetuer eget, rutrum at, lorem."
104,44,A16,T99076,3/2/2021,Phasellus id sapien in sapien iaculis congue.
105,44,A70,T71613,10/16/2020,"Mauris ullamcorper purus sit amet nulla. Quisque arcu libero, rutrum ac, lobortis vel, dapibus at, diam."
106,45,A25,T43869,3/9/2021,"Nulla ac enim. In tempor, turpis nec euismod scelerisque, quam turpis adipiscing lorem, vitae mattis nibh ligula nec sem."
107,46,A81,T39402,5/9/2021,Ut at dolor quis odio consequat varius.
108,47,A35,T81468,10/1/2021,Morbi a ipsum.
109,48,A18,T78053,7/29/2021,Suspendisse potenti.
110,49,A05,T99983,2/13/2022,Cras in purus eu magna vulputate luctus.
111,50,A73,T88511,10/21/2021,Vestibulum ante ipsum primis in faucibus orci luctus et ultrices posuere cubilia Curae; Nulla dapibus dolor vel est.
112,51,A16,T56623,2/12/2022,Donec dapibus. Duis at velit eu est congue elementum.
113,51,A95,T39601,9/5/2020,"Vestibulum quam sapien, varius ut, blandit non, interdum in, ante."
114,51,A20,T65904,12/6/2020,"Duis bibendum, felis sed interdum venenatis, turpis enim blandit mi, in porttitor pede justo eu massa. Donec dapibus."
115,51,A39,T39790,4/24/2021,Cras non velit nec nisi vulputate nonummy.
116,51,A41,T22427,12/3/2020,"Cras mi pede, malesuada in, imperdiet et, commodo vulputate, justo."
117,52,A59,T86801,6/29/2021,In hac habitasse platea dictumst.
118,53,A50,T92933,4/9/2021,Donec posuere metus vitae ipsum.
119,54,A50,T71615,3/29/2021,Nulla ut erat id mauris vulputate elementum.
120,55,A13,T53198,8/21/2021,Aliquam quis turpis eget elit sodales scelerisque. Mauris sit amet eros.
121,55,A13,T74943,10/7/2020,Proin risus. Praesent lectus.
122,55,A75,T75444,12/28/2020,"Cum sociis natoque penatibus et magnis dis parturient montes, nascetur ridiculus mus."
123,55,A94,T89976,9/8/2021,Nullam molestie nibh in lectus. Pellentesque at nulla.
124,55,A16,T25034,1/26/2021,Praesent blandit lacinia erat.
125,55,A48,T90240,5/18/2021,"Morbi sem mauris, laoreet ut, rhoncus aliquet, pulvinar sed, nisl. Nunc rhoncus dui vel sem."
126,55,A69,T31415,12/27/2020,Duis at velit eu est congue elementum. In hac habitasse platea dictumst.
127,56,A89,T88038,5/29/2021,"Quisque porta volutpat erat. Quisque erat eros, viverra eget, congue eget, semper rutrum, nulla."
128,57,A25,T96248,8/2/2020,Proin at turpis a pede posuere nonummy. Integer non velit.
129,58,A61,T07838,9/20/2021,Vivamus vestibulum sagittis sapien.
130,59,A30,T85116,3/20/2022,"Nam ultrices, libero non mattis pulvinar, nulla pede ullamcorper augue, a suscipit nulla elit ac nulla. Sed vel enim sit amet nunc viverra dapibus."
131,59,A11,T80748,1/5/2021,Vestibulum sed magna at nunc commodo placerat.
132,59,A43,T59847,11/9/2020,Maecenas tincidunt lacus at velit.
133,59,A31,T66711,12/3/2021,Nunc purus.
134,59,A90,T40465,10/28/2020,"Integer pede justo, lacinia eget, tincidunt eget, tempus vel, pede."
135,60,A95,T63337,3/26/2022,"Lorem ipsum dolor sit amet, consectetuer adipiscing elit. Proin interdum mauris non ligula pellentesque ultrices."
136,61,A24,T31184,12/28/2021,Vestibulum ante ipsum primis in faucibus orci luctus et ultrices posuere cubilia Curae; Duis faucibus accumsan odio.
137,62,A34,T30235,9/16/2021,"Duis bibendum, felis sed interdum venenatis, turpis enim blandit mi, in porttitor pede justo eu massa."
138,62,A36,T25035,10/20/2021,"Integer aliquet, massa id lobortis convallis, tortor risus dapibus augue, vel accumsan tellus nisi eu orci."
139,62,A33,T74980,8/9/2020,Nam dui.
140,62,A55,T24334,3/21/2021,Nullam molestie nibh in lectus.
141,62,A05,T38154,1/20/2022,Praesent blandit.
142,63,A56,T74194,1/1/2022,Maecenas tincidunt lacus at velit.
143,64,A93,T70939,8/4/2020,In sagittis dui vel nisl.
144,65,A19,T89650,4/13/2022,"Vestibulum quam sapien, varius ut, blandit non, interdum in, ante. Vestibulum ante ipsum primis in faucibus orci luctus et ultrices posuere cubilia Curae; Duis faucibus accumsan odio."
145,66,A68,T38854,9/9/2021,Nulla justo. Aliquam quis turpis eget elit sodales scelerisque.
146,67,A70,T82796,4/1/2021,Vestibulum rutrum rutrum neque.
147,67,A92,T62359,10/30/2020,Proin interdum mauris non ligula pellentesque ultrices. Phasellus id sapien in sapien iaculis congue.
148,67,A94,T24507,12/19/2021,Duis at velit eu est congue elementum.
149,67,A24,T31778,8/27/2021,Suspendisse potenti.
150,67,A07,T48867,7/15/2020,Duis aliquam convallis nunc. Proin at turpis a pede posuere nonummy.
151,67,A56,T78799,7/20/2021,Nulla mollis molestie lorem. Quisque ut erat.
152,67,A56,T32262,7/14/2020,"Vestibulum quam sapien, varius ut, blandit non, interdum in, ante. Vestibulum ante ipsum primis in faucibus orci luctus et ultrices posuere cubilia Curae; Duis faucibus accumsan odio."
153,68,A05,T92730,4/22/2021,Suspendisse potenti.
154,69,A14,T45844,7/24/2021,Morbi porttitor lorem id ligula.
155,70,A15,T92144,8/23/2021,Duis consequat dui nec nisi volutpat eleifend. Donec ut dolor.
156,70,A26,T59397,2/25/2022,"Donec odio justo, sollicitudin ut, suscipit a, feugiat et, eros."
157,70,A76,T85475,12/11/2020,Nulla ut erat id mauris vulputate elementum.
158,70,A71,T90257,5/1/2022,Etiam pretium iaculis justo. In hac habitasse platea dictumst.
159,70,A28,T09056,12/26/2021,Donec semper sapien a libero.
160,70,A16,T18441,5/10/2021,"Vivamus vestibulum sagittis sapien. Cum sociis natoque penatibus et magnis dis parturient montes, nascetur ridiculus mus."
161,70,A02,T44935,7/6/2020,Phasellus sit amet erat. Nulla tempus.
162,71,A40,T13602,12/6/2021,Quisque id justo sit amet sapien dignissim vestibulum. Vestibulum ante ipsum primis in faucibus orci luctus et ultrices posuere cubilia Curae; Nulla dapibus dolor vel est.
163,72,A56,T91703,7/23/2021,"Integer aliquet, massa id lobortis convallis, tortor risus dapibus augue, vel accumsan tellus nisi eu orci. Mauris lacinia sapien quis libero."
164,73,A83,T84440,12/3/2021,Pellentesque at nulla. Suspendisse potenti.
165,74,A54,T52050,12/28/2020,"Cras mi pede, malesuada in, imperdiet et, commodo vulputate, justo. In blandit ultrices enim."
166,75,A75,T65274,8/2/2020,Donec dapibus.
167,76,A71,T66766,10/26/2021,Nulla suscipit ligula in lacus. Curabitur at ipsum ac tellus semper interdum.
168,76,A08,T84767,10/21/2020,Praesent blandit. Nam nulla.
169,76,A04,T48226,7/31/2020,Vestibulum sed magna at nunc commodo placerat. Praesent blandit.
170,76,A37,T53047,6/18/2021,Vestibulum ac est lacinia nisi venenatis tristique.
171,76,A15,T20362,8/29/2020,Proin eu mi. Nulla ac enim.
172,76,A65,T26394,3/16/2022,"Morbi vel lectus in quam fringilla rhoncus. Mauris enim leo, rhoncus sed, vestibulum sit amet, cursus id, turpis."
173,76,A17,T69669,12/1/2021,Aenean auctor gravida sem. Praesent id massa id nisl venenatis lacinia.
174,76,A63,T72161,6/8/2022,Vivamus vel nulla eget eros elementum pellentesque.
175,77,A35,T80536,10/8/2021,Morbi a ipsum. Integer a nibh.
176,78,A57,T54006,6/2/2022,"Cum sociis natoque penatibus et magnis dis parturient montes, nascetur ridiculus mus. Etiam vel augue."
177,79,A97,T88788,10/21/2020,Nullam molestie nibh in lectus. Pellentesque at nulla.
178,80,A47,T10218,11/10/2020,Aliquam sit amet diam in magna bibendum imperdiet.
179,81,A16,T77771,8/26/2021,Duis consequat dui nec nisi volutpat eleifend.
180,82,A58,T06545,5/17/2022,"Vivamus metus arcu, adipiscing molestie, hendrerit at, vulputate vitae, nisl."
181,82,A93,T00326,11/1/2020,"Fusce congue, diam id ornare imperdiet, sapien urna pretium nisl, ut volutpat sapien arcu sed augue."
182,82,A66,T46813,8/27/2020,Nulla mollis molestie lorem. Quisque ut erat.
183,82,A40,T78934,2/3/2022,Mauris ullamcorper purus sit amet nulla.
184,82,A81,T58930,4/24/2021,Curabitur at ipsum ac tellus semper interdum. Mauris ullamcorper purus sit amet nulla.
185,82,A73,T16687,9/21/2021,Donec dapibus. Duis at velit eu est congue elementum.
186,82,A84,T84245,10/10/2020,Proin risus.
187,82,A63,T72707,7/7/2021,"Mauris enim leo, rhoncus sed, vestibulum sit amet, cursus id, turpis. Integer aliquet, massa id lobortis convallis, tortor risus dapibus augue, vel accumsan tellus nisi eu orci."
188,82,A33,T16340,8/28/2020,Morbi a ipsum.
189,82,A54,T97734,11/1/2021,"Morbi sem mauris, laoreet ut, rhoncus aliquet, pulvinar sed, nisl."
190,83,A05,T54073,6/5/2021,Integer a nibh. In quis justo.
191,84,A99,T96308,12/9/2020,Nulla mollis molestie lorem. Quisque ut erat.
192,85,A85,T94726,2/14/2022,In eleifend quam a odio. In hac habitasse platea dictumst.
193,86,A69,T77431,6/13/2022,Mauris lacinia sapien quis libero. Nullam sit amet turpis elementum ligula vehicula consequat.
194,87,A85,T25615,9/24/2020,Duis consequat dui nec nisi volutpat eleifend. Donec ut dolor.
195,88,A01,T50812,11/18/2020,Morbi non lectus. Aliquam sit amet diam in magna bibendum imperdiet.
196,89,A91,T07892,3/9/2022,"Morbi vestibulum, velit id pretium iaculis, diam erat fermentum justo, nec condimentum neque sapien placerat ante. Nulla justo."
197,90,A29,T51170,3/2/2022,Nulla ut erat id mauris vulputate elementum. Nullam varius.
198,91,A53,T39281,4/21/2021,"Cum sociis natoque penatibus et magnis dis parturient montes, nascetur ridiculus mus. Etiam vel augue."
199,92,A18,T34725,2/27/2022,Duis mattis egestas metus.
200,93,A57,T41177,12/11/2021,"Morbi odio odio, elementum eu, interdum eu, tincidunt in, leo. Maecenas pulvinar lobortis est."
201,94,A37,T81049,11/16/2020,"Mauris enim leo, rhoncus sed, vestibulum sit amet, cursus id, turpis."
202,95,A84,T39178,2/23/2022,Vestibulum sed magna at nunc commodo placerat.
203,96,A04,T09633,6/1/2022,Sed accumsan felis.
204,97,A79,T00091,8/20/2020,Quisque id justo sit amet sapien dignissim vestibulum. Vestibulum ante ipsum primis in faucibus orci luctus et ultrices posuere cubilia Curae; Nulla dapibus dolor vel est.
205,98,A82,T71532,6/19/2021,Fusce consequat. Nulla nisl.
